"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","daily","daily_lower","daily_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"49",2016-02-18,383.743076596965,146.088762203287,146.088762203287,146.088762203287,58.9930973075968,58.9930973075968,58.9930973075968,11.7826176089617,11.7826176089617,11.7826176089617,75.3130472867282,75.3130472867282,75.3130472867282,0,0,0,346.597755363233,713.993401352209,383.743076596965,383.743076596965,529.831838800252
"50",2016-02-19,383.995909847335,135.260611502881,135.260611502881,135.260611502881,58.9930973075968,58.9930973075968,58.9930973075968,0.233506004917825,0.233506004917825,0.233506004917825,76.0340081903666,76.0340081903666,76.0340081903666,0,0,0,330.607596982683,685.21387206141,383.995909847335,383.995909847335,519.256521350217
"51",2016-02-20,384.248743097706,124.235274780017,124.235274780017,124.235274780017,58.9930973075968,58.9930973075968,58.9930973075968,-11.1872100813306,-11.1872100813306,-11.1872100813306,76.4293875537505,76.4293875537505,76.4293875537505,0,0,0,329.231467619344,686.258523639486,384.248743097706,384.248743097706,508.484017877722
"52",2016-02-21,384.501576348076,136.715979373201,136.715979373201,136.715979373201,58.9930973075968,58.9930973075968,58.9930973075968,1.16983540371318,1.16983540371318,1.16983540371318,76.5530466618913,76.5530466618913,76.5530466618913,0,0,0,350.589792635472,702.365935779994,384.501576348076,384.501576348076,521.217555721277
"53",2016-02-22,384.754409598447,132.880027989985,132.880027989985,132.880027989985,58.9930973075968,58.9930973075968,58.9930973075968,-2.56867915119214,-2.56867915119214,-2.56867915119214,76.4556098335799,76.4556098335799,76.4556098335799,0,0,0,329.794727336777,710.169780020099,384.754409598447,384.754409598447,517.634437588431
"54",2016-02-23,385.007242848817,126.709822421703,126.709822421703,126.709822421703,58.9930973075968,58.9930973075968,58.9930973075968,-8.46666815593545,-8.46666815593545,-8.46666815593545,76.1833932700417,76.1833932700417,76.1833932700417,0,0,0,339.955392750555,691.839846738875,385.007242848817,385.007242848817,511.71706527052
"55",2016-02-24,385.260076099188,143.807241578077,143.807241578077,143.807241578077,58.9930973075968,58.9930973075968,58.9930973075968,9.03659837087665,9.03659837087665,9.03659837087665,75.7775458996036,75.7775458996036,75.7775458996036,0,0,0,359.543532147775,720.436816434451,385.260076099188,385.260076099188,529.067317677265
"56",2016-02-25,385.512909349558,146.049130606446,146.049130606446,146.049130606446,58.9930973075968,58.9930973075968,58.9930973075968,11.7826176089513,11.7826176089513,11.7826176089513,75.2734156898982,75.2734156898982,75.2734156898982,0,0,0,352.361572844613,697.586162004346,385.512909349558,385.512909349558,531.562039956004
"57",2016-02-26,385.765742599928,133.926751374809,133.926751374809,133.926751374809,58.9930973075968,58.9930973075968,58.9930973075968,0.233506004944183,0.233506004944183,0.233506004944183,74.7001480622677,74.7001480622677,74.7001480622677,0,0,0,345.470465342707,696.905729437167,385.765742599928,385.765742599928,519.692493974737
"58",2016-02-27,386.018575850299,121.886403427639,121.886403427639,121.886403427639,58.9930973075968,58.9930973075968,58.9930973075968,-11.1872100813236,-11.1872100813236,-11.1872100813236,74.0805162013662,74.0805162013662,74.0805162013662,0,0,0,319.24619934261,680.809002426906,386.018575850299,386.018575850299,507.904979277938
"59",2016-02-28,386.271409100669,133.593909105546,133.593909105546,133.593909105546,58.9930973075968,58.9930973075968,58.9930973075968,1.16983540373066,1.16983540373066,1.16983540373066,73.4309763942188,73.4309763942188,73.4309763942188,0,0,0,348.009562871839,709.380751615094,386.271409100669,386.271409100669,519.865318206216
"60",2016-02-29,386.52424235104,129.186353395773,129.186353395773,129.186353395773,58.9930973075968,58.9930973075968,58.9930973075968,-2.56867915121319,-2.56867915121319,-2.56867915121319,72.7619352393892,72.7619352393892,72.7619352393892,0,0,0,334.870297134524,704.259240715833,386.52424235104,386.52424235104,515.710595746812
"61",2016-03-01,386.77707560141,122.60463895523,122.60463895523,122.60463895523,58.9930973075968,58.9930973075968,58.9930973075968,-8.46666815593542,-8.46666815593542,-8.46666815593542,72.0782098035687,72.0782098035687,72.0782098035687,0,0,0,328.787449832695,677.322690367175,386.77707560141,386.77707560141,509.38171455664
"62",2016-03-02,387.029908851781,139.409352401809,139.409352401809,139.409352401809,58.9930973075968,58.9930973075968,58.9930973075968,9.03659837088103,9.03659837088103,9.03659837088103,71.3796567233316,71.3796567233316,71.3796567233316,0,0,0,353.812897976891,702.848892152311,387.029908851781,387.029908851781,526.43926125359
"63",2016-03-03,387.282742102151,141.437656897501,141.437656897501,141.437656897501,58.9930973075968,58.9930973075968,58.9930973075968,11.7826176089788,11.7826176089788,11.7826176089788,70.6619419809253,70.6619419809253,70.6619419809253,0,0,0,341.661130764481,695.322025050606,387.282742102151,387.282742102151,528.720398999652
"64",2016-03-04,387.535575352521,129.144023044274,129.144023044274,129.144023044274,58.9930973075968,58.9930973075968,58.9930973075968,0.233506004930009,0.233506004930009,0.233506004930009,69.9174197317474,69.9174197317474,69.9174197317474,0,0,0,343.735117422275,689.669967821218,387.535575352521,387.535575352521,516.679598396796
"65",2016-03-05,387.788408602892,116.941973432138,116.941973432138,116.941973432138,58.9930973075968,58.9930973075968,58.9930973075968,-11.1872100813284,-11.1872100813284,-11.1872100813284,69.1360862058697,69.1360862058697,69.1360862058697,0,0,0,319.947070381604,685.781447230051,387.788408602892,387.788408602892,504.73038203503
"66",2016-03-06,388.041241853262,128.469506104856,128.469506104856,128.469506104856,58.9930973075968,58.9930973075968,58.9930973075968,1.16983540373179,1.16983540373179,1.16983540373179,68.3065733935273,68.3065733935273,68.3065733935273,0,0,0,337.900493453024,694.485257043541,388.041241853262,388.041241853262,516.510747958118
