"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","holidays","holidays_lower","holidays_upper","monthly","monthly_lower","monthly_upper","New Year's Day","New Year's Day_lower","New Year's Day_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"1",2016-01-01,411.613366444435,83.8566101296322,83.8566101296322,83.8566101296322,55.0429587818062,55.0429587818062,55.0429587818062,-3.45445952999081,-3.45445952999081,-3.45445952999081,55.0429587818062,55.0429587818062,55.0429587818062,2.17963056400553,2.17963056400553,2.17963056400553,30.0884803138113,30.0884803138113,30.0884803138113,0,0,0,322.890147810112,678.702109552848,411.613366444435,411.613366444435,495.469976574067
"2",2016-01-02,412.007041615845,-5.59562677075714,-5.59562677075714,-5.59562677075714,0,0,0,-19.6424383212514,-19.6424383212514,-19.6424383212514,0,0,0,-8.24983854995956,-8.24983854995956,-8.24983854995956,22.2966501004538,22.2966501004538,22.2966501004538,0,0,0,245.446542356827,601.423919247473,412.007041615845,412.007041615845,406.411414845088
"3",2016-01-03,412.400716787256,10.6477038074781,10.6477038074781,10.6477038074781,0,0,0,-9.18073188880435,-9.18073188880435,-9.18073188880435,0,0,0,5.14769215527961,5.14769215527961,5.14769215527961,14.6807435410028,14.6807435410028,14.6807435410028,0,0,0,252.021682454899,592.746454216715,412.400716787256,412.400716787256,423.048420594734
"4",2016-01-04,412.794391958666,-6.95655948565781,-6.95655948565781,-6.95655948565781,0,0,0,-13.958387986346,-13.958387986346,-13.958387986346,0,0,0,-0.346675728547675,-0.346675728547675,-0.346675728547675,7.34850422923587,7.34850422923587,7.34850422923587,0,0,0,243.77695882145,588.432869220993,412.794391958666,412.794391958666,405.837832473008
"5",2016-01-05,413.188067130076,-38.7553734142863,-38.7553734142863,-38.7553734142863,0,0,0,-31.8734170899489,-31.8734170899489,-31.8734170899489,0,0,0,-7.28457253944081,-7.28457253944081,-7.28457253944081,0.40261621510341,0.40261621510341,0.40261621510341,0,0,0,200.249118158484,542.932930764984,413.188067130076,413.188067130076,374.43269371579
"6",2016-01-06,413.581742301486,-14.3069423504892,-14.3069423504892,-14.3069423504892,0,0,0,-8.19677438609669,-8.19677438609669,-8.19677438609669,0,0,0,-0.0488098418802731,-0.0488098418802731,-0.0488098418802731,-6.06135812251226,-6.06135812251226,-6.06135812251226,0,0,0,229.344310417291,567.206857210335,413.581742301486,413.581742301486,399.274799950997
"7",2016-01-07,413.975417472897,-27.3995546772276,-27.3995546772276,-27.3995546772276,0,0,0,-24.0452469654319,-24.0452469654319,-24.0452469654319,0,0,0,8.6025739405256,8.6025739405256,8.6025739405256,-11.9568816523213,-11.9568816523213,-11.9568816523213,0,0,0,210.431203983232,561.305532002268,413.975417472897,413.975417472897,386.575862795669
"8",2016-01-08,414.369092644307,-52.6062026083892,-52.6062026083892,-52.6062026083892,0,0,0,-37.5776916814251,-37.5776916814251,-37.5776916814251,0,0,0,2.17963056399765,2.17963056399765,2.17963056399765,-17.2081414909618,-17.2081414909618,-17.2081414909618,0,0,0,181.195306990026,537.217202991019,414.369092644307,414.369092644307,361.762890035918
"9",2016-01-09,414.762767815717,-6.41536980139583,-6.41536980139583,-6.41536980139583,0,0,0,23.5859712009836,23.5859712009836,23.5859712009836,0,0,0,-8.24983854997062,-8.24983854997062,-8.24983854997062,-21.7515024524088,-21.7515024524088,-21.7515024524088,0,0,0,235.038444067776,578.672469339031,414.762767815717,414.762767815717,408.347398014321
"10",2016-01-10,415.156442987128,5.89952964617733,5.89952964617733,5.89952964617733,0,0,0,26.2885175966622,26.2885175966622,26.2885175966622,0,0,0,5.14769215528918,5.14769215528918,5.14769215528918,-25.536680105774,-25.536680105774,-25.536680105774,0,0,0,250.014869932555,585.808861906854,415.156442987128,415.156442987128,421.055972633305
"11",2016-01-11,415.550118158538,-46.9613981177016,-46.9613981177016,-46.9613981177016,0,0,0,-18.0871167327293,-18.0871167327293,-18.0871167327293,0,0,0,-0.346675728552663,-0.346675728552663,-0.346675728552663,-28.5276056564196,-28.5276056564196,-28.5276056564196,0,0,0,191.763303664519,538.716469004372,415.550118158538,415.550118158538,368.588720040836
"12",2016-01-12,415.943793329948,-53.0788340634327,-53.0788340634327,-53.0788340634327,0,0,0,-15.0912988656033,-15.0912988656033,-15.0912988656033,0,0,0,-7.28457253943062,-7.28457253943062,-7.28457253943062,-30.7029626583988,-30.7029626583988,-30.7029626583988,0,0,0,184.41909214651,533.877289062778,415.943793329948,415.943793329948,362.864959266515
"13",2016-01-13,416.337468501358,-41.2892571817995,-41.2892571817995,-41.2892571817995,0,0,0,-9.18406344885525,-9.18406344885525,-9.18406344885525,0,0,0,-0.0488098418822501,-0.0488098418822501,-0.0488098418822501,-32.056383891062,-32.056383891062,-32.056383891062,0,0,0,198.968153113265,551.167384952013,416.337468501358,416.337468501358,375.048211319559
"14",2016-01-14,416.731143672769,-35.3205614815601,-35.3205614815601,-35.3205614815601,0,0,0,-11.3268300548146,-11.3268300548146,-11.3268300548146,0,0,0,8.60257394050761,8.60257394050761,8.60257394050761,-32.5963053672532,-32.5963053672532,-32.5963053672532,0,0,0,214.10794518332,552.550783900871,416.731143672769,416.731143672769,381.410582191209
"15",2016-01-15,417.124818844179,-35.4405055528574,-35.4405055528574,-35.4405055528574,0,0,0,-5.2746529586867,-5.2746529586867,-5.2746529586867,0,0,0,2.17963056400789,2.17963056400789,2.17963056400789,-32.3454831581786,-32.3454831581786,-32.3454831581786,0,0,0,205.881400154475,565.56819691798,417.124818844179,417.124818844179,381.684313291322
"16",2016-01-16,417.518494015589,-39.4616456083276,-39.4616456083276,-39.4616456083276,0,0,0,0.128380226368379,0.128380226368379,0.128380226368379,0,0,0,-8.24983854997087,-8.24983854997087,-8.24983854997087,-31.3401872847251,-31.3401872847251,-31.3401872847251,0,0,0,199.132869580627,545.27823595258,417.518494015589,417.518494015589,378.056848407262
"17",2016-01-17,417.912169186999,-22.5739004833039,-22.5739004833039,-22.5739004833039,0,0,0,1.90750247313118,1.90750247313118,1.90750247313118,0,0,0,5.14769215529378,5.14769215529378,5.14769215529378,-29.6290951117289,-29.6290951117289,-29.6290951117289,0,0,0,237.593129641704,571.475264678181,417.912169186999,417.912169186999,395.338268703696
"18",2016-01-18,418.30584435841,-27.3880038040159,-27.3880038040159,-27.3880038040159,0,0,0,0.230586193551651,0.230586193551651,0.230586193551651,0,0,0,-0.346675728557654,-0.346675728557654,-0.346675728557654,-27.2719142690099,-27.2719142690099,-27.2719142690099,0,0,0,212.970180738647,561.811551964961,418.30584435841,418.30584435841,390.917840554394
"19",2016-01-19,418.69951952982,-31.5760513137335,-31.5760513137335,-31.5760513137335,0,0,0,0.046293135336963,0.046293135336963,0.046293135336963,0,0,0,-7.28457253942519,-7.28457253942519,-7.28457253942519,-24.3377719096453,-24.3377719096453,-24.3377719096453,0,0,0,206.286917725799,557.384894458206,418.69951952982,418.69951952982,387.123468216087
"20",2016-01-20,419.09319470123,-14.0054781793567,-14.0054781793567,-14.0054781793567,0,0,0,6.94674458236555,6.94674458236555,6.94674458236555,0,0,0,-0.0488098418809309,-0.0488098418809309,-0.0488098418809309,-20.9034129198413,-20.9034129198413,-20.9034129198413,0,0,0,227.67966372533,585.161356050929,419.09319470123,419.09319470123,405.087716521874
"21",2016-01-21,419.486869872641,14.5883805696529,14.5883805696529,14.5883805696529,0,0,0,23.0370609908766,23.0370609908766,23.0370609908766,0,0,0,8.60257394051894,8.60257394051894,8.60257394051894,-17.0512543617427,-17.0512543617427,-17.0512543617427,0,0,0,259.134323927543,614.21270710099,419.486869872641,419.486869872641,434.075250442294
"22",2016-01-22,419.880545044051,7.6056152485954,7.6056152485954,7.6056152485954,0,0,0,18.2933315195005,18.2933315195005,18.2933315195005,0,0,0,2.1796305640096,2.1796305640096,2.1796305640096,-12.8673468349147,-12.8673468349147,-12.8673468349147,0,0,0,247.15528588948,606.635014827357,419.880545044051,419.880545044051,427.486160292646
"23",2016-01-23,420.274220215461,-13.8385044245216,-13.8385044245216,-13.8385044245216,0,0,0,2.85062962209589,2.85062962209589,2.85062962209589,0,0,0,-8.249838549966,-8.249838549966,-8.249838549966,-8.43929549665147,-8.43929549665147,-8.43929549665147,0,0,0,237.634948189799,567.845932552024,420.274220215461,420.274220215461,406.43571579094
"24",2016-01-24,420.667895386871,18.1648263651176,18.1648263651176,18.1648263651176,0,0,0,16.871328339078,16.871328339078,16.871328339078,0,0,0,5.14769215530335,5.14769215530335,5.14769215530335,-3.85419412926374,-3.85419412926374,-3.85419412926374,0,0,0,268.579585039568,622.973027762807,420.667895386871,420.667895386871,438.832721751989
"25",2016-01-25,421.061570558282,23.6781338148755,23.6781338148755,23.6781338148755,0,0,0,23.2214344155308,23.2214344155308,23.2214344155308,0,0,0,-0.346675728541679,-0.346675728541679,-0.346675728541679,0.803375127886407,0.803375127886407,0.803375127886407,0,0,0,261.485586827715,610.654545935713,421.061570558282,421.061570558282,444.739704373157
