"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","daily","daily_lower","daily_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"1",2016-01-01,367.178722417369,97.2367380015096,97.2367380015096,97.2367380015096,44.4662276008698,44.4662276008698,44.4662276008698,2.12876669677297,2.12876669677297,2.12876669677297,50.6417437038668,50.6417437038668,50.6417437038668,0,0,0,295.979655443932,635.743201865453,367.178722417369,367.178722417369,464.415460418879
"2",2016-01-02,367.573626122242,78.6523558916048,78.6523558916048,78.6523558916048,44.4662276008698,44.4662276008698,44.4662276008698,-8.09294972325733,-8.09294972325733,-8.09294972325733,42.2790780139923,42.2790780139923,42.2790780139923,0,0,0,264.290100611786,625.939916596377,367.573626122242,367.573626122242,446.225982013847
"3",2016-01-03,367.968529827115,83.3645638493809,83.3645638493809,83.3645638493809,44.4662276008698,44.4662276008698,44.4662276008698,5.01045338795514,5.01045338795514,5.01045338795514,33.8878828605559,33.8878828605559,33.8878828605559,0,0,0,273.838527103959,634.583525138129,367.968529827115,367.968529827115,451.333093676496
"4",2016-01-04,368.363433531988,69.8522677565266,69.8522677565266,69.8522677565266,44.4662276008698,44.4662276008698,44.4662276008698,-0.203870943437841,-0.203870943437841,-0.203870943437841,25.5899110990946,25.5899110990946,25.5899110990946,0,0,0,264.946618159414,608.33216689119,368.363433531988,368.363433531988,438.215701288514
"5",2016-01-05,368.75833723686,54.5672070493782,54.5672070493782,54.5672070493782,44.4662276008698,44.4662276008698,44.4662276008698,-7.40442005109927,-7.40442005109927,-7.40442005109927,17.5053994996076,17.5053994996076,17.5053994996076,0,0,0,251.956295669126,616.912414606646,368.75833723686,368.75833723686,423.325544286239
"6",2016-01-06,369.153240941733,54.2133442963186,54.2133442963186,54.2133442963186,44.4662276008698,44.4662276008698,44.4662276008698,-0.00349410072981801,-0.00349410072981801,-0.00349410072981801,9.75061079617861,9.75061079617861,9.75061079617861,0,0,0,244.700249298985,616.050625648838,369.153240941733,369.153240941733,423.366585238052
"7",2016-01-07,369.548144646606,55.4672066749631,55.4672066749631,55.4672066749631,44.4662276008698,44.4662276008698,44.4662276008698,8.56551473377766,8.56551473377766,8.56551473377766,2.43546434031555,2.43546434031555,2.43546434031555,0,0,0,239.601930406154,603.645458067314,369.548144646606,369.548144646606,425.015351321569
"8",2016-01-08,369.943048351479,42.2563071527204,42.2563071527204,42.2563071527204,44.4662276008698,44.4662276008698,44.4662276008698,2.1287666967649,2.1287666967649,2.1287666967649,-4.33868714491433,-4.33868714491433,-4.33868714491433,0,0,0,232.776859494022,609.195958214078,369.943048351479,369.943048351479,412.199355504199
"9",2016-01-09,370.337952056352,25.8921970272502,25.8921970272502,25.8921970272502,44.4662276008698,44.4662276008698,44.4662276008698,-8.09294972326891,-8.09294972326891,-8.09294972326891,-10.4810808503508,-10.4810808503508,-10.4810808503508,0,0,0,215.676217322935,578.797968521897,370.337952056352,370.337952056352,396.230149083602
"10",2016-01-10,370.732855761224,33.5633625877619,33.5633625877619,33.5633625877619,44.4662276008698,44.4662276008698,44.4662276008698,5.01045338796489,5.01045338796489,5.01045338796489,-15.9133184010729,-15.9133184010729,-15.9133184010729,0,0,0,226.369019026622,587.759914618027,370.732855761224,370.732855761224,404.296218348986
"11",2016-01-11,371.127759466097,23.6915075130727,23.6915075130727,23.6915075130727,44.4662276008698,44.4662276008698,44.4662276008698,-0.203870943442878,-0.203870943442878,-0.203870943442878,-20.5708491443543,-20.5708491443543,-20.5708491443543,0,0,0,218.766635302829,562.172875626955,371.127759466097,371.127759466097,394.81926697917
"12",2016-01-12,371.52266317097,12.6576803576587,12.6576803576587,12.6576803576587,44.4662276008698,44.4662276008698,44.4662276008698,-7.40442005108959,-7.40442005108959,-7.40442005108959,-24.4041271921215,-24.4041271921215,-24.4041271921215,0,0,0,199.840284797731,560.274881990966,371.52266317097,371.52266317097,384.180343528629
"13",2016-01-13,371.917566875843,17.0833179234451,17.0833179234451,17.0833179234451,44.4662276008698,44.4662276008698,44.4662276008698,-0.00349410073105798,-0.00349410073105798,-0.00349410073105798,-27.3794155766937,-27.3794155766937,-27.3794155766937,0,0,0,201.689061690837,572.924490193635,371.917566875843,371.917566875843,389.000884799288
"14",2016-01-14,372.312470580716,23.5525223906169,23.5525223906169,23.5525223906169,44.4662276008698,44.4662276008698,44.4662276008698,8.565514733761,8.565514733761,8.565514733761,-29.4792199440139,-29.4792199440139,-29.4792199440139,0,0,0,207.327703630145,570.390405229079,372.312470580716,372.312470580716,395.864992971333
"15",2016-01-15,372.707374285588,15.8926505702546,15.8926505702546,15.8926505702546,44.4662276008698,44.4662276008698,44.4662276008698,2.12876669677585,2.12876669677585,2.12876669677585,-30.7023437273911,-30.7023437273911,-30.7023437273911,0,0,0,220.152025682086,563.95089164233,372.707374285588,372.707374285588,388.600024855843
"16",2016-01-16,373.102277990461,5.30971141928913,5.30971141928913,5.30971141928913,44.4662276008698,44.4662276008698,44.4662276008698,-8.0929497232683,-8.0929497232683,-8.0929497232683,-31.0635664583124,-31.0635664583124,-31.0635664583124,0,0,0,200.351511322687,566.153745496887,373.102277990461,373.102277990461,378.41198940975
